0,100,0
0.1,100,0
0.2,100,0
0.3,100,0
0.4,100,0
0.5,100,0
0.6,100,0
0.7,100,0
0.8,100,0
0.9,100,0
1,100,0
1.1,100,0
1.2,100,0
1.3,100,0
1.4,100,0
1.5,100,0
1.6,100,0
1.7,100,0
1.8,100,0
1.9,100,0
2,100,0.02
2.1,100,0.03
2.2,100,0.04
2.3,100,0.05
2.4,100,0.05
2.5,100,0.05
2.6,100,0.05
2.7,100,0.05
2.8,100,0.05
2.9,100,0.06
3,100,0.06
3.1,100,0.06
3.2,100,0.07
3.3,100,0.07
3.4,100,0.07
3.5,100,0.07
3.6,100,0.08
3.7,100,0.08
3.8,100,0.09
3.9,100,0.09
4,100,0.09
4.1,100,0.1
4.2,100,0.1
4.3,100,0.1
4.4,100,0.1
4.5,100,0.11
4.6,100,0.11
4.7,100,0.11
4.8,100,0.12
4.9,100,0.12
5,100,0.12
5.1,100,0.12
5.2,100,0.12
5.3,100,0.13
5.4,100,0.14
5.5,100,0.14
5.6,100,0.14
5.7,100,0.15
5.8,100,0.15
5.9,100,0.15
6,100,0.15
6.1,100,0.16
6.2,100,0.16
6.3,100,0.16
6.4,100,0.17
6.5,100,0.17
6.6,100,0.17
6.7,100,0.17
6.8,100,0.18
6.9,100,0.18
7,100,0.19
7.1,100,0.19
7.2,100,0.19
7.3,100,0.19
7.4,100,0.2
7.5,100,0.2
7.6,100,0.2
7.7,100,0.2
7.8,100,0.21
7.9,100,0.21
8,100,0.21
8.1,100,0.22
8.2,100,0.22
8.3,100,0.23
8.4,100,0.23
8.5,100,0.23
8.6,100,0.24
8.7,100,0.24
8.8,100,0.24
8.9,100,0.24
9,100,0.25
9.1,100,0.25
9.2,100,0.25
9.3,100,0.25
9.4,100,0.26
9.5,100,0.26
9.6,100,0.27
9.7,100,0.27
9.8,100,0.27
9.9,100,0.27
10,100,0.28
10.1,100,0.28
10.2,100,0.28
10.3,100,0.29
10.4,100,0.29
10.5,100,0.29
10.6,100,0.3
10.7,100,0.3
10.8,100,0.3
10.9,100,0.3
11,100,0.31
11.1,100,0.31
11.2,100,0.31
11.3,100,0.32
11.4,100,0.32
11.5,100,0.32
11.6,100,0.32
11.7,100,0.33
11.8,100,0.33
11.9,100,0.34
12,100,0.34
12.1,100,0.34
12.2,100,0.34
12.3,100,0.35
12.4,100,0.35
12.5,100,0.36
12.6,100,0.36
12.7,100,0.36
12.8,100,0.36
12.9,100,0.37
13,100,0.37
13.1,100,0.37
13.2,100,0.38
13.3,100,0.38
13.4,100,0.38
13.5,100,0.39
13.6,100,0.39
13.7,100,0.39
13.8,100,0.4
13.9,100,0.4
14,100,0.4
14.1,100,0.41
14.2,100,0.41
14.3,100,0.41
14.4,100,0.41
14.5,100,0.42
14.6,100,0.42
14.7,100,0.42
14.8,100,0.43
14.9,100,0.43
15,100,0.44
15.1,100,0.44
15.2,100,0.44
15.3,100,0.44
15.4,100,0.45
15.5,100,0.45
15.6,100,0.45
15.7,100,0.46
15.8,100,0.46
15.9,100,0.46
16,100,0.47
16.1,100,0.47
16.2,100,0.47
16.3,100,0.48
16.4,100,0.48
16.5,100,0.48
16.6,100,0.49
16.7,100,0.49
